Spiel;Genre;Minispiel;Optional
;;;
Minecraft;Sandbox;Angeln;Ja
The Witcher 3;Action-Adventure;Gwint;Ja
The Witcher 3;Action-Adventure;Pferderennen;Einmalig
The Witcher 3;Action-Adventure;Faustkampf;Ja
RDR 2;Action-Adventure;Poker;Ja
RDR 2;Action-Adventure;Domino;Ja
RDR 2;Action-Adventure;Blackjack;Ja
RDR 2;Action-Adventure;Five Finger Fillet;Ja
RDR 2;Action-Adventure;Angeln;Einmalig
Silent Hill 2;Survival Horror;Coin Puzzle;Nein
Silent Hill 2;Survival Horror;Zahlenkombnation;Nein
Silent Hill 2;Survival Horror;Armband Puzzle;Nein
Silent Hill 2;Survival Horror;X-Ray Puzzle;Nein
Silent Hill 2;Survival Horror;Bücher Puzzle;Nein
Silent Hill 2;Survival Horror;Generator Puzzle;Nein
Silent Hill 2;Survival Horror;Gewichte Puzzle;Nein
Silent Hill 2;Survival Horror;Galgen Puzzle;Nein
Silent Hill 2;Survival Horror;Spiegel Rätsel;Nein
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Nein
Genshin Impact;Open World RPG;Angeln;Ja
Genshin Impact;Open World RPG;Genius Invokation TCG;Ja
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Einmalig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Einmalig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Einmalig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Einmalig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Ja
Mafia II;Action-Adventure;Lockpicking;Einmalig
The Order: 1886;Action-Adventure;Lockpicking;Nein
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Nein
The Order: 1886;Action-Adventure;Morse Code;Nein
Mafia III;Action-Adventure;Lockpulling;Ja
Fallout 4;Open World RPG;Lockpicking;Ja
Fallout 4;Open World RPG;Hacking;Ja
Fallout 4;Open World RPG;Pipfall;Ja
Fallout 4;Open World RPG;Red Menace;Ja
Fallout 4;Open World RPG;Atomic Command;Ja
Fallout 4;Open World RPG;Zeta Invaders;Ja
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Ja
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Nein
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Ja
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Ja
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Nein
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Nein
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Ja
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Ja
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Nein
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Nein
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Nein
Animal Crossing New Horizons;Simulation;Fischen;Ja
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Ja
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Ja
Resident Evil Village;Survival Horror;Musik Box Puzzle;Nein
Resident Evil Village;Survival Horror;Film Puzzle;Nein
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Nein
Resident Evil Village;Survival Horror;Piano Puzzle;Nein
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Nein
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Nein
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Nein
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Ja
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Nein
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Nein
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Nein
Resident Evil 4 (Remake);Survival Horror;Hexagon Puzzle;Ja
Resident Evil 4 (Remake);Survival Horror;Stained Glass Puzzle;Nein
Resident Evil 4 (Remake);Survival Horror;Strom Puzzel;Nein
Palia;Simulation;Angeln;Ja
Palia;Simulation;Kochen;Einmalig
Hogwarts Legacy;Open World RPG;Accio Duell;Ja
Hogwarts Legacy;Open World RPG;Duelling Club;Einmalig
Hogwarts Legacy;Open World RPG;Broom Trials;Einmalig
Hogwarts Legacy;Open World RPG;Battle Arena;Ja
Hogwarts Legacy;Open World RPG;Alohomora / Lockpicking;Nein
Hogwarts Legacy;Open World RPG;Ballons zerplatzen;Ja
Hogwarts Legacy;Open World RPG;Merlins Prüfungen;Ja
God of War III;Action-Adventure;Pandoras Musik Puzzle;Nein
Resident Evil 3 (Remake);Survival Horror;Schienen Puzzle;Nein
Resident Evil 3 (Remake);Survival Horror;Lab Puzzle;Nein
Silent Hill f;Survival Horror;Altar Rätsel;Nein
Silent Hill f;Survival Horror;Zahlenkombnation;Einmalig
Silent Hill f;Survival Horror;Geheimkiste Rätsel;Nein
Silent Hill f;Survival Horror;Waage Rätsel;Nein
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Data Diver Upgrade;Nein
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Power Generator;Nein
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Moon.exe;Ja
